nickname,userId,privateAccount,signature,uniqueId,verified,videoId,createTime,likesCount,shareCount,commentCount,playCount,collectCount,description,url,timestamp,duration
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,6851336393638137094,1595201065,1400000,12200,8667,22900000,18500,Trocaram a minha cama por uma piscina 😂🏊‍♀️ @nicolasgommes @hugobarcelar #humor #prank #pegadinha,https://www.tiktok.com/@enaldinho/video/6851336393638137094,2020-07-19 23:24:25,29
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,6992353137134750982,1628034083,2600000,4153,12100,45700000,27900,Você teria coragem?? 😂😂😂 @jadesales_,https://www.tiktok.com/@enaldinho/video/6992353137134750982,2021-08-03 23:41:23,40
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7474757103916305669,1740352514,1928,30,128,40100,128,Vc tem tripofobia?? 🥵🥵,https://www.tiktok.com/@enaldinho/video/7474757103916305669,2025-02-23 23:15:14,50
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7472554334140632325,1739839642,7463,121,285,148900,443,Bala ovo 😂😂😂,https://www.tiktok.com/@enaldinho/video/7472554334140632325,2025-02-18 00:47:22,64
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7472168237069896966,1739749747,5031,90,223,97100,194,Aceitam?? Kkkkkk 😂,https://www.tiktok.com/@enaldinho/video/7472168237069896966,2025-02-16 23:49:07,18
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7471084240327707959,1739497357,9241,248,190,887800,634,Conseguiram resolver esse enigma? 😂 @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7471084240327707959,2025-02-14 01:42:37,32
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7469924062198811909,1739227233,2368,88,210,60100,149,"Foi só um pesadelo, mas poderia ter acontecido.  Fiquem espertos com a saúde de vocês, a meningite meningocócica pode ser perigosa!  #parceriapaga @gsk_brasil  Material dirigido ao público em geral. Por favor, consulte o seu médico. NP-BR-GVU-BRF-240007 – Outubro/2024​  Referências:   1. BRASIL. Ministério da Saúde. Saúde de A a Z: meningite meningocócica. Disponível em: <https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/m/meningite\> Acesso em: 2. Out. 2024.​  2. Socidade Brasileira de Imunizações. Doenças. Meningite Meningocócica. Disponível em: <https://familia.sbim.org.br/doencas/meningite-meningococica> Acesso em: 2. Out. 2024.  3. WHO. Newsroom. Factsheets. Detail. Meningitis. Disponível em: <https://www.who.int/news-room/fact-sheets/detail/meningitis> Acesso em: 16. Dez. 2024",https://www.tiktok.com/@enaldinho/video/7469924062198811909,2025-02-10 22:40:33,35
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7469601283255667973,1739152082,3792,45,180,76200,231,Simplesmente um cybertruck de papelão 😂,https://www.tiktok.com/@enaldinho/video/7469601283255667973,2025-02-10 01:48:02,43
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7468474240686181638,1738889670,7767,132,303,247300,466,Tive que arrumar um disfarce 🥸😂,https://www.tiktok.com/@enaldinho/video/7468474240686181638,2025-02-07 00:54:30,46
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7467738488503340294,1738718367,12200,353,356,488000,889,Agora eu tenho uma professora de etiqueta 😂 @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7467738488503340294,2025-02-05 01:19:27,60
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7466817234204118278,1738503870,13200,469,394,262400,611,Não divido comida 👀😂 @Jéssica Souza ,https://www.tiktok.com/@enaldinho/video/7466817234204118278,2025-02-02 13:44:30,42
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7464336134580096261,1737926193,5551,103,289,144400,322,Conseguiriam vencer?? 😂 @TIGS @Vini @Jéssica Souza ,https://www.tiktok.com/@enaldinho/video/7464336134580096261,2025-01-26 21:16:33,55
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7463138348450712838,1737647309,4390,504,459,127600,270,ESTÃO SABENDO DESSA NOVIDADE??? 😍 #BrawlStars  Link com mais informações está na bio.,https://www.tiktok.com/@enaldinho/video/7463138348450712838,2025-01-23 15:48:29,26
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7461288442769509637,1737216596,9070,216,405,400400,514,Batatinha frita valendo um iPhone novo 😂 @Vini @@lvieiralari @Jéssica Souza @Nicolas Gomes ,https://www.tiktok.com/@enaldinho/video/7461288442769509637,2025-01-18 16:09:56,46
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7458798753340804358,1736636921,11400,362,625,622400,881,Criei uma experiência insana pra vcs se sentirem no canal 😍 📍 Shopping Cidade - Belo Horizonte  🗓️ Já está funcionando e fica até dia 09 de fevereiro Postem e me marquem 😍,https://www.tiktok.com/@enaldinho/video/7458798753340804358,2025-01-11 23:08:41,7
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7456891007402134790,1736192742,345800,31800,17100,5100000,21400,"Deixei o bigode crescer nas férias, será que tiro???? 😂😂",https://www.tiktok.com/@enaldinho/video/7456891007402134790,2025-01-06 19:45:42,20
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7456226949325655302,1736038125,10000,302,436,307500,606,👀💰🤣 @Vini @Brenner Mariano @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7456226949325655302,2025-01-05 00:48:45,16
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7455862330094521606,1735953233,23100,777,648,728500,1512,Vendedor de água 🤣💦 @Vini @Brenner Mariano ,https://www.tiktok.com/@enaldinho/video/7455862330094521606,2025-01-04 01:13:53,47
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7455477540090580230,1735863643,8604,143,285,451200,536,Comentem quem vocês acham que ganhou 👇🏻 @Vini @Brenner Mariano @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7455477540090580230,2025-01-03 00:20:43,30
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7455014456561503493,1735755819,20900,355,536,539600,1218,Ô jogo virou 😂 @TIGS @@lvieiralari @Brenner Mariano @Vini ,https://www.tiktok.com/@enaldinho/video/7455014456561503493,2025-01-01 18:23:39,35
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7454361488732458246,1735603793,29500,9240,1298,3000000,1118,😂😂😂😂 @Vini ,https://www.tiktok.com/@enaldinho/video/7454361488732458246,2024-12-31 00:09:53,26
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7451767083529997573,1734999734,15200,236,1194,498500,991,Comprei um carro que estaciona sozinho 😮,https://www.tiktok.com/@enaldinho/video/7451767083529997573,2024-12-24 00:22:14,31
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7451354138702630149,1734903589,19300,338,1229,1500000,960,"Quem é melhor? Sonic ou Shadow? #Sonic3OFilme dia 25 de dezembro, somente nos cinemas!  🎟️ Ingressos já disponíveis.  @Paramount Pictures Brasil ",https://www.tiktok.com/@enaldinho/video/7451354138702630149,2024-12-22 21:39:49,38
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7450549598520626438,1734716266,6704,132,465,212300,538,"A @Hot Wheels , marca da @mattel , uniu forças com a McLaren para trazer um modelo épico à sua coleção! Essa edição especial é uma verdadeira obra-prima, criada para apaixonados por velocidade, inovação e automobilismo. 🏁#publicidade",https://www.tiktok.com/@enaldinho/video/7450549598520626438,2024-12-20 17:37:46,17
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7450162441352187142,1734626122,6306,95,372,218400,472,Ficou curioso pra saber mais sobre a nossa missão? Corre pro Youtube assistir o vídeo completo! 👀 #publicidade @gsk_brasil Material dirigido ao público em geral. Por favor consulte seu médico. NP-BR-GVU-BRF-240013 – Novembro/2024,https://www.tiktok.com/@enaldinho/video/7450162441352187142,2024-12-19 16:35:22,17
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7449535550597467397,1734480164,7124,113,343,184100,437,Tem uma hora 🤣,https://www.tiktok.com/@enaldinho/video/7449535550597467397,2024-12-18 00:02:44,6
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7446729233696558341,1733826766,16500,373,506,930100,914,Tentei ser esperto… será que deu certo?? 🤣 @Jéssica Souza ,https://www.tiktok.com/@enaldinho/video/7446729233696558341,2024-12-10 10:32:46,15
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7445754539220716806,1733599829,8483,216,604,298800,727,Batalha de gogo com a @Emilly Vick 🤣,https://www.tiktok.com/@enaldinho/video/7445754539220716806,2024-12-07 19:30:29,59
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7443219423063854391,1733009580,20100,454,859,542200,1242,Adivinhando a fala da galera da elo 😂 @@lvieiralari @Vini @Jéssica Souza @Biel Valadares ,https://www.tiktok.com/@enaldinho/video/7443219423063854391,2024-11-30 23:33:00,26
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7442500235877764408,1732842132,84100,5655,3863,2800000,7436,Isso não sai da minha cabeça ✋🏻😂😂,https://www.tiktok.com/@enaldinho/video/7442500235877764408,2024-11-29 01:02:12,8
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7440992762368888120,1732491142,26000,627,2837,417400,2542,"Acabei de bater a marca de 40 MILHÕES de inscritos no YouTube!  Sinceramente, ainda estou processando tudo isso. Olhando para trás, parece que foi ontem que comecei a gravar meus primeiros vídeos, cheio de sonhos e incertezas. Nunca imaginei que essa paixão minha pudesse me levar tão longe. São mais de 10 anos de muito trabalho, dedicação e, claro, muito aprendizado. Lembro de noites mal dormidas, editando até altas horas, e dias em que a vontade de desistir era grande. Mas a cada like, cada comentário e cada mensagem de carinho, eu encontrava a força para continuar. A nossa comunidade é a razão de tudo isso! ❤️ Essa jornada não foi fácil. Tive que enfrentar muitos desafios, mas cada obstáculo me fez crescer e me tornou mais forte. E hoje, posso dizer com orgulho que realizei um dos meus maiores sonhos. Mas o mais importante pra mim, é saber que pude conectar com tantas pessoas através dos meus vídeos, que pude fazer vocês rirem, chorarem e até mudarem de vida.  Quero agradecer a cada um de vocês que fazem parte dessa história. Vocês são a minha maior inspiração! E prometo continuar criando conteúdo com muito amor e dedicação, para que juntos possamos construir um futuro ainda mais incrível.  E bora para os 50 milhões!! 👊🏻👊🏻",https://www.tiktok.com/@enaldinho/video/7440992762368888120,2024-11-24 23:32:22,0
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7440593463818652983,1732398174,11600,330,468,656300,764,O caderno que salva tudo 😂😂,https://www.tiktok.com/@enaldinho/video/7440593463818652983,2024-11-23 21:42:54,32
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7439885187443363128,1732233265,4398,72,247,142900,346,"É OFICIAL: fomos convocados para o desafio das Fominhas! E spoiler, eu fui o único que me dei bem! 👀 Marca aquele amigo fominha que sempre pede um pedaço! 😋 O Polenguinho é o queijinho que toda familia adora! 🧀💙 @polenguinhobr ",https://www.tiktok.com/@enaldinho/video/7439885187443363128,2024-11-21 23:54:25,48
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7438017787475381559,1731798482,62200,2689,2135,2400000,3583,Já experimentou o salgadinho do canal? 😂,https://www.tiktok.com/@enaldinho/video/7438017787475381559,2024-11-16 23:08:02,13
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7437557790282894647,1731691374,98400,1454,4058,2700000,7581,Descobrindo novas funções do Cyber Truck 😅,https://www.tiktok.com/@enaldinho/video/7437557790282894647,2024-11-15 17:22:54,60
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7437293910151499063,1731629940,11300,221,418,275800,751,Quem você prefere feat. Youtubers 😎,https://www.tiktok.com/@enaldinho/video/7437293910151499063,2024-11-15 00:19:00,27
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7436180275832409400,1731370651,10400,452,261,804400,729,Só queria saber isso… 😂 @TIGS @Jéssica Souza @Vini ,https://www.tiktok.com/@enaldinho/video/7436180275832409400,2024-11-12 00:17:31,8
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7435651894611168567,1731247628,5673,81,204,195200,375,😂😂😂 @Nicolas Gomes @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7435651894611168567,2024-11-10 14:07:08,22
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7434682874684640567,1731022011,10700,184,1976,1100000,630,Comentem aqui 👇🏻👇🏻👀👀 @Jéssica Souza @Vini ,https://www.tiktok.com/@enaldinho/video/7434682874684640567,2024-11-07 23:26:51,7
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7434297320725941559,1730932243,28900,1864,1013,1600000,1601,kkkkkkkkkkk 🤣🤣🤣,https://www.tiktok.com/@enaldinho/video/7434297320725941559,2024-11-06 22:30:43,9
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7433581806047448326,1730765648,10700,78,426,295000,567,Quem vcs acham que é o impostor?? 👀 @Vini @Jéssica Souza @TIGS ,https://www.tiktok.com/@enaldinho/video/7433581806047448326,2024-11-05 00:14:08,41
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7433114201377328390,1730656772,185400,5601,6375,2600000,11400,Voce teria coragem de fazer isso com o carro?,https://www.tiktok.com/@enaldinho/video/7433114201377328390,2024-11-03 17:59:32,43
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7432429582302858501,1730497376,6982,115,254,138600,489,Isso de novo??? 🤯👾🎮,https://www.tiktok.com/@enaldinho/video/7432429582302858501,2024-11-01 21:42:56,6
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7431574934918302981,1730298380,17800,2174,572,300400,1144,"Minhoca, minhoca 🤣🪱 @@lvieiralari @Nicolas Gomes @TIGS @Marcelinho Fernandes ",https://www.tiktok.com/@enaldinho/video/7431574934918302981,2024-10-30 14:26:20,7
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7431364970383920390,1730249495,12800,225,340,761300,1021,O bem sempre vence o mal 🤭 @TIGS ,https://www.tiktok.com/@enaldinho/video/7431364970383920390,2024-10-30 00:51:35,46
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7430071203915762949,1729948272,6946,79,335,140300,511,Enaldinho e o Mistério do Circo 🎪🤹 Quem ainda não assistiu minha peça? Ainda dá tempo 🥰,https://www.tiktok.com/@enaldinho/video/7430071203915762949,2024-10-26 13:11:12,82
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7429865646256655622,1729900415,19200,729,597,993200,1609,Essa pergunta não deveria ter sido feita 🥵😂,https://www.tiktok.com/@enaldinho/video/7429865646256655622,2024-10-25 23:53:35,15
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7428396357041343749,1729558313,8569,83,283,292700,522,Quando você dá carona para sua amiga desesperada 😂 @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7428396357041343749,2024-10-22 00:51:53,14
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7428014867447090437,1729469494,6039,76,192,196100,469,Esse vídeo daria pra virar um filme de comédia 🤣🤣🤣 @Jéssica Souza ,https://www.tiktok.com/@enaldinho/video/7428014867447090437,2024-10-21 00:11:34,90
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7427635179578985734,1729381089,5672,69,222,162800,382,Fui roubado 🥲,https://www.tiktok.com/@enaldinho/video/7427635179578985734,2024-10-19 23:38:09,21
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7426382031916895493,1729089317,11200,201,481,386600,893,Gostaram da afinação?? 🤣🤣,https://www.tiktok.com/@enaldinho/video/7426382031916895493,2024-10-16 14:35:17,79
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7426160748247796997,1729037801,4830,57,141,201400,322,Essa máquina me deixou rico 😦🤑,https://www.tiktok.com/@enaldinho/video/7426160748247796997,2024-10-16 00:16:41,28
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7425007396889578758,1728769263,21400,447,438,417000,1154,Tipos de jogos se curando 🎮👾#minecraft #fortnite #valorant ,https://www.tiktok.com/@enaldinho/video/7425007396889578758,2024-10-12 21:41:03,44
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7423935542355627269,1728519704,5925,76,168,404900,387,"Quem deixar o colo transbordar, perde 😂🥛 @Jéssica Souza ",https://www.tiktok.com/@enaldinho/video/7423935542355627269,2024-10-10 00:21:44,23
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7423010332395785478,1728304284,13400,287,236,887600,953,Acordei com minha casa de cabeça pra baixo 🫨🏠 ,https://www.tiktok.com/@enaldinho/video/7423010332395785478,2024-10-07 12:31:24,29
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7422786748704787718,1728252229,8583,120,277,349100,560,Qual carro devo escolher? 🤔,https://www.tiktok.com/@enaldinho/video/7422786748704787718,2024-10-06 22:03:49,14
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7421657243629767942,1727989244,12800,222,276,459300,985,O dia que eu tive visões estranhas 🥴 @Vini @TIGS @@lvieiralari @Jéssica Souza ,https://www.tiktok.com/@enaldinho/video/7421657243629767942,2024-10-03 21:00:44,55
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7420554586114870533,1727732512,5433,88,209,189600,417,Comprei uma lâmpada mágica 🧞💡 @Jéssica Souza ,https://www.tiktok.com/@enaldinho/video/7420554586114870533,2024-09-30 21:41:52,48
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7419756262998510853,1727546635,84700,896,713,2700000,5956,Trollei o @MrBeast 👀😂,https://www.tiktok.com/@enaldinho/video/7419756262998510853,2024-09-28 18:03:55,18
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7418706881562086662,1727302310,75500,1331,667,1900000,5979,Vcs teriam coragem?? 👀,https://www.tiktok.com/@enaldinho/video/7418706881562086662,2024-09-25 22:11:50,22
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7418298944800804102,1727207330,54700,384,513,790900,4026,O dia em q quase fui atacado por um tubarao nas Maldivas!,https://www.tiktok.com/@enaldinho/video/7418298944800804102,2024-09-24 19:48:50,88
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7417886885197991173,1727111389,6936,59,176,229200,463,Esse brinquedo promete triplicar de tamanho quando colocado na água 😲😲😲,https://www.tiktok.com/@enaldinho/video/7417886885197991173,2024-09-23 17:09:49,24
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7417118087549291781,1726932386,8009,128,159,304800,492,Ping pong challege! Queriam participar desse desafio?? 👀 @Jéssica Souza @TIGS @@lvieiralari @Biel Valadares ,https://www.tiktok.com/@enaldinho/video/7417118087549291781,2024-09-21 15:26:26,40
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7416731681840745734,1726842420,22200,633,216,2500000,1154,Alguém entendeu isso? 😂 @Jéssica Souza @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7416731681840745734,2024-09-20 14:27:00,29
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7416419445171555589,1726769720,169900,3369,2770,16700000,10900,"A collab mais inesperada e deliciosa do ano chegou! A Coca-Cola Oreo Sem Açúcar e o biscoito Oreo Coca-Cola estão simplesmente irresistíveis! 🤤 Se eu fosse você, correria agora pra garantir o seu, porque é edição limitada. E quem diria que essas duas marcas icônicas se tornariam besties como eu e a @Anninha. ❤️💙 E aí, já provou? Conta pra mim o que achou! #ModoBestie #CocaCola @cocacola_br @oreo_brasil",https://www.tiktok.com/@enaldinho/video/7416419445171555589,2024-09-19 18:15:20,50
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7415767616184241414,1726617958,3678,62,143,110500,242,Desafio da intuição 🤑💰💵💸 @Jéssica Souza @Biel Valadares ,https://www.tiktok.com/@enaldinho/video/7415767616184241414,2024-09-18 00:05:58,39
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7415405201789619461,1726533576,16400,262,238,933400,1215,Vocês conheciam a cola bola?? 😮 @Vini @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7415405201789619461,2024-09-17 00:39:36,43
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7414672609251462406,1726363004,6289,108,145,148800,411,Fui perseguido por militares altamente treinados 😵,https://www.tiktok.com/@enaldinho/video/7414672609251462406,2024-09-15 01:16:44,47
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7413557498046647557,1726103376,15100,944,361,354600,850,Comprei uma capa da invisibilidade 😮‍💨 @Vini @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7413557498046647557,2024-09-12 01:09:36,55
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7411699794093018374,1725670845,41200,2365,973,790700,3704,O dia em que eu apareci no comercial do Mr Beast 😂😂😂,https://www.tiktok.com/@enaldinho/video/7411699794093018374,2024-09-07 01:00:45,11
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7411664635398475014,1725662661,17100,377,424,788300,944,Vc conseguiria?? 😮 @TIGS @Vini @@lvieiralari @Jéssica Souza ,https://www.tiktok.com/@enaldinho/video/7411664635398475014,2024-09-06 22:44:21,27
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7410551802711624965,1725403559,17200,415,605,1100000,1096,Like pra parte desse desse desafio 🤣🤣🤣 @TIGS @@lvieiralari @Vini ,https://www.tiktok.com/@enaldinho/video/7410551802711624965,2024-09-03 22:45:59,20
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7409843719329025285,1725238694,32600,2386,756,1700000,1968,Enganei minha babá 🤣,https://www.tiktok.com/@enaldinho/video/7409843719329025285,2024-09-02 00:58:14,34
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7409427859279711493,1725141868,290800,42200,11000,4000000,22500,Postem e me marquem que vou comentar em todos os vídeos 😂🤣 @Jéssica Souza @TIGS @@lvieiralari @Biel Valadares ,https://www.tiktok.com/@enaldinho/video/7409427859279711493,2024-08-31 22:04:28,10
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7408578554432130310,1724944118,823300,144500,13200,8500000,56900,Quem aí também tá com essa música na cabeça?? 😂 ,https://www.tiktok.com/@enaldinho/video/7408578554432130310,2024-08-29 15:08:38,11
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7408333546017819909,1724887073,15500,170,453,321800,1189,Você sabia disso?? 🧐🤔,https://www.tiktok.com/@enaldinho/video/7408333546017819909,2024-08-28 23:17:53,48
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7406479434812755205,1724455380,73600,4137,1628,2700000,3248,Minha namorada é muito ciumenta 😂 @Anna Clara Rios ,https://www.tiktok.com/@enaldinho/video/7406479434812755205,2024-08-23 23:23:00,35
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7405741979868417286,1724283679,35200,3709,1092,1300000,2269,Lutei boxe contra o homem mais forte do mundo 🥊🥵,https://www.tiktok.com/@enaldinho/video/7405741979868417286,2024-08-21 23:41:19,42
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7405012928241339653,1724113934,27200,2474,629,590200,1537,Quem teve a pior prenda? 😂 @Jéssica Souza @TIGS @Vini @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7405012928241339653,2024-08-20 00:32:14,45
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7404651822066978054,1724029855,135700,18700,5891,3100000,8760,Gostaram?? 😂😂,https://www.tiktok.com/@enaldinho/video/7404651822066978054,2024-08-19 01:10:55,29
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7403399032246160646,1723738167,13200,405,250,939300,782,Picolé fake 👀😂 @Jéssica Souza ,https://www.tiktok.com/@enaldinho/video/7403399032246160646,2024-08-15 16:09:27,30
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7403152835283635462,1723680847,34400,1626,1928,445600,2717,Mudei pouco ou muito?? 👀,https://www.tiktok.com/@enaldinho/video/7403152835283635462,2024-08-15 00:14:07,14
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7402389021210578181,1723503008,10500,410,317,487500,728,Explodi uma melância com gominha 🤯 @Vini ,https://www.tiktok.com/@enaldinho/video/7402389021210578181,2024-08-12 22:50:08,30
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
